Topic Area,Topic,Progress Level,Exercise
Sizes and measurement,Record and compare sizes,D,"You have three water jugs: 1.2 L, 2.35 L, and 0.95 L. What is their total volume in milliliters?"
Sizes and measurement,Record and compare sizes,D,"Record the temperature from a thermometer — what kind of clothing would you wear? (the thermometer showing 18°C)"
Sizes and measurement,Record and compare sizes,D,"An object is 0.03 m thick. How many of them would stack up to 1.5 meters?"
Sizes and measurement,Record and compare sizes,D,"Convert 3.75 km into meters and then subtract 1,480 m — what’s the result in kilometers?"
Sizes and measurement,Record and compare sizes,E,"A student rounds a measurement of 3.78 m to 4 m. What is the percent error?"
Sizes and measurement,Record and compare sizes,E,"Estimate whether 2 gallons of paint is enough to cover a surface needing 7.2 L of paint."
Sizes and measurement,Record and compare sizes,E,"A road is listed as 1.2 miles. Convert to kilometers and decide whether it's over or under 2 km"
Sizes and measurement,Record and compare sizes,F,"A road is 5.6 km long. How many miles is that? (Use 1 mile ≈ 1.609 km)"
Sizes and measurement,Record and compare sizes,F,"A tank holds 1,200 liters. A smaller tank holds 320 gallons. Which holds more? (1 gallon ≈ 3.785 L)"
Sizes and measurement,Record and compare sizes,F,"A jogger runs 5 km in 30 minutes. What is her average speed in m/s?"
Sizes and measurement,Record and compare sizes,G,"A light-year is approximately 9.46 × 10¹² km; express this in meters"
Sizes and measurement,Record and compare sizes,G,"A sheet of paper is 0.1 mm thick; how tall is a stack of 2000 sheets in cm?"
Sizes and measurement,Record and compare sizes,G,"A cylindrical pipe has radius 4 cm and height 3 m; compare its volume to one with radius 6 cm and height 2.5 m"
Sizes and measurement,Record and compare sizes,H,"Compare the thickness of a human hair (0.07 mm) to the Planck length (1.6 × 10⁻³⁵ m); how many times larger is the hair?"
Sizes and measurement,Record and compare sizes,H,"Estimate how many raindrops (radius ~1 mm) would fill a 1-liter container"
Sizes and measurement,Handling units of measurement,B,"Which unit would you use to measure a pencil: cm or m? ______"
Sizes and measurement,Handling units of measurement,B,"Which is heavier: 1 kg or 1 g?"
Sizes and measurement,Handling units of measurement,B,"Tick the objects you would measure in meters: ___ Book ___ Table ___ Door"
Sizes and measurement,Handling units of measurement,C,"A jug holds 1 ___ of juice (liter or kilogram)?"
Sizes and measurement,Handling units of measurement,C,"How many milliliters are in 3 liters?"
Sizes and measurement,Handling units of measurement,C,"Conver 4,289 mL to liters."
Sizes and measurement,Handling units of measurement,C,"convert 2.5 km to mm."
Sizes and measurement,Handling units of measurement,D,"Convert 3,200 mm into meters"
Sizes and measurement,Handling units of measurement,D,"How many centimeters are in 4.75 meters?"
Sizes and measurement,Handling units of measurement,D,"Convert 5,000 mg into grams."
Sizes and measurement,Handling units of measurement,D,"A bottle has 1.5 L of juice. How many 250 mL glasses can it fill?"
Sizes and measurement,Handling units of measurement,D,"A runner completes 4 laps around a 400 m track. What’s the total distance in km?"
Sizes and measurement,Handling units of measurement,D,"A package weighs 2.3 kg. Another weighs 1,750 g. Which is heavier and by how much?"
Sizes and measurement,Handling units of measurement,E,"A cube has volume 64 cm³. Express this in mm³"
Sizes and measurement,Handling units of measurement,E,"Rewrite 1.2 hours in the format hours:minutes"
Sizes and measurement,Handling units of measurement,E,"A map has a scale of 1:1000. What distance does 5 cm on the map represent in real life?"
Sizes and measurement,Handling units of measurement,E,"Write 1.75 liters in milliliters"
Sizes and measurement,Handling units of measurement,E,"A car travels 90 km in 1.5 hours. What is the speed in km/h?"
Sizes and measurement,Handling units of measurement,F,"Convert 60 mph to km/h. (1 mile = 1.609 km)"
Sizes and measurement,Handling units of measurement,F,"Convert 0.007 km² to m²"
Sizes and measurement,Handling units of measurement,F,"Convert a speed of 108 km/h into m/s"
Sizes and measurement,Handling units of measurement,G,"A recipe uses 0.75 cups of oil; how many mL is that if 1 cup = 237 mL?"
Sizes and measurement,Handling units of measurement,G,"A water tank holds 1.2 m³; express this in liters"
Sizes and measurement,Handling units of measurement,G,"Convert 100 mL of mercury to grams if density = 13.6 g/cm³"
Sizes and measurement,Handling units of measurement,G,"Express 7.5×10⁻⁶ seconds in microseconds"
Sizes and measurement,Handling units of measurement,H,"Convert 1.2 MJ (megajoules) to kJ and J"
Sizes and measurement,Handling units of measurement,H,"Convert 50°C to Fahrenheit"
Sizes and measurement,Handling units of measurement,H,"Convert 5 light-years to meters using 1 light-year = 9.461×10¹⁵ m"
Sizes and measurement,Calculations of quantities,B,"A rope is 85 cm long. You cut off 30 cm. How much is left? ______"
Sizes and measurement,Calculations of quantities,B,"A board is 6 meters long. You cut it into 2 equal pieces. How long is each piece? ______"
Sizes and measurement,Calculations of quantities,B,"Combine weights: 2 kg + 500 g = ______"
Sizes and measurement,Calculations of quantities,B,"You buy items costing €5, €8, and €3. What is the total cost? ______"
Sizes and measurement,Calculations of quantities,C,"You pour 750 mL of water into a 1-liter bottle. How much space is left?"
Sizes and measurement,Calculations of quantities,C,"A board is 2.4 m long. You cut it into 3 equal pieces. How long is each piece?"
Sizes and measurement,Calculations of quantities,D,"A square has a side length of 6.4 cm — what is its area?"
Sizes and measurement,Calculations of quantities,D,"Calculate the area of a triangle with base 12 cm and height 9 cm."
Sizes and measurement,Calculations of quantities,D,"A floor plan has 5 rooms measuring 5 m × 4 m and 3 rooms measuring 3 m × 2 m — what’s the total area?"
Sizes and measurement,Calculations of quantities,D,"A rectangular tank has a length of 12 cm, width of 5 cm, and height of 10 cm — calculate its volume."
Sizes and measurement,Calculations of quantities,D,"Which has a greater area: a 6 × 6 square or a 5 × 8 rectangle?"
Sizes and measurement,Calculations of quantities,E,"A cone has radius 4 cm and height 9 cm. Find the volume using V = ⅓πr²h"
Sizes and measurement,Calculations of quantities,E,"You want to paint one wall of your room. It’s 4 m wide and 2.5 m tall. How many square meters of paint do you need?"
Sizes and measurement,Calculations of quantities,E,"You’re building a sandbox that’s 2 m × 2 m and 0.3 m deep. How much sand in cubic meters is needed to fill it?"
Sizes and measurement,Calculations of quantities,E,"A cylindrical water tank has diameter 1.2 m and height 2 m. Estimate the volume of water it can hold in liters"
Sizes and measurement,Calculations of quantities,E,"A flower bed is made of a rectangle (2 m × 1 m) with a semicircle on one short side. Find the total area"
Sizes and measurement,Calculations of quantities,F,"A car travels 240 km in 3 hours. What is its speed in km/h?"
Sizes and measurement,Calculations of quantities,F,"A deposit of €1,000 earns 2.5% simple interest annually. How much interest after 2 years?"
Sizes and measurement,Calculations of quantities,F,"A toy is scaled at 1:20. If the model is 12 cm long, what is the real object length?"
Sizes and measurement,Calculations of quantities,F,"A car uses 8 L of fuel per 100 km. How much fuel is needed for 350 km?"
Sizes and measurement,Calculations of quantities,G,"Find the surface area of a cone with radius 5 cm and slant height 13 cm"
Sizes and measurement,Calculations of quantities,G,"A farmer wants to fence a circular field with radius 45 m; how much fencing is needed?"
Sizes and measurement,Calculations of quantities,G,"A water bill is based on €1.75 per m³; how much does it cost for 18.6 m³ of usage?"
Sizes and measurement,Calculations of quantities,H,"Calculate the wavelength of a 100 MHz radio wave in air (speed of light ≈ 3×10⁸ m/s)"
Sizes and measurement,Calculations of quantities,H,"Calculate the wavelength of a water wave with a period of 5 seconds and speed 3 m/s"
Sizes and measurement,Calculations of quantities,H,"A satellite orbits 400 km above Earth; estimate its surface visibility using area = 2πRh"
Sizes and measurement,Calculations of quantities,H,"Calculate the total mass of air in a room 5 m × 4 m × 2.5 m assuming air density = 1.225 kg/m³"
Sizes and measurement,Calculations of quantities,H,"Determine the weight of 0.5 m³ of concrete if its density is 2400 kg/m³"
Sizes and measurement,Calculations of quantities,H,"Estimate the total energy output of a 1.5 kW solar panel running for 6 hours per day over 30 days"
Data frequencies and probabilities,"Collect, display and read data",B,"Count and record how many people in your class have blue eyes"
Data frequencies and probabilities,"Collect, display and read data",B,"Use tally marks to show how many pets your friends have"
Data frequencies and probabilities,"Collect, display and read data",B,"Add up the total number of animals shown in the chart"
Data frequencies and probabilities,"Collect, display and read data",B,"Look at the graph. Did more people travel by car or bus?"
Data frequencies and probabilities,"Collect, display and read data",C,"Draw a bar graph to show how many pets each classmate has."
Data frequencies and probabilities,"Collect, display and read data",C,"How many more students like blue than green, according to the pictogram?"
Data frequencies and probabilities,"Collect, display and read data",C,"Read the temperature at 2 PM from the line graph."
Data frequencies and probabilities,"Collect, display and read data",C,"From the survey. Create a table to show how many books each student read in a week"
Data frequencies and probabilities,"Collect, display and read data",C,"Fill in the missing values in the frequency table: Apples – 7, Bananas – __, Oranges – 5, Grapes – __, Total – 20"
Data frequencies and probabilities,"Collect, display and read data",C,"Create a line graph using the following daily step counts: Sunday – 4,500, Monday – 6,200, Tuesday – 7,100, Wednesday – 5,800, Thursday – 6,900, Friday – 7,500, Saturday – 8,000"
Data frequencies and probabilities,"Collect, display and read data",D,"Make a frequency table for the following numbers: 2, 3, 2, 4, 3, 2, 5."
Data frequencies and probabilities,"Collect, display and read data",D,"Draw a pie chart for the data: apples (4), bananas (7), oranges (3)."
Data frequencies and probabilities,"Collect, display and read data",D,"Measure and record the hand spans of 5 classmates and organize the data"
Data frequencies and probabilities,"Collect, display and read data",D,"Organize the results of 10 students' favorite subjects (Math, English) by gender in a two-way table."
Data frequencies and probabilities,"Collect, display and read data",D,"Collect and organize class heights into intervals (e.g. 120–130 cm) in a tally chart."
Data frequencies and probabilities,"Collect, display and read data",E,"Identify misleading elements in a graph where the y-axis does not start at zero"
Data frequencies and probabilities,"Collect, display and read data",E,"Construct a stem-and-leaf plot for: 32, 34, 36, 41, 43, 45, 48"
Data frequencies and probabilities,"Collect, display and read data",E,"Create a histogram from grouped intervals of quiz scores: 0–10, 11–20, etc"
Data frequencies and probabilities,"Collect, display and read data",E,"A time series graph shows population growth every 10 years from 1960 to 2020. What is the average growth rate per decade?"
Data frequencies and probabilities,"Collect, display and read data",E,"Calculate the lower and upper quartiles of the data set: {3, 5, 7, 8, 9, 10, 12, 15, 18}"
Data frequencies and probabilities,"Collect, display and read data",F,"The heights (in cm) of 10 students are: [150, 152, 155, 157, 160, 160, 162, 165, 167, 170]. Find the median and interquartile range"
Data frequencies and probabilities,"Collect, display and read data",F,"Interpret this stem-and-leaf plot: 1 | 2 5 8, 2 | 1 3 6 9, 3 | 0 4 — What is the mode?"
Data frequencies and probabilities,"Collect, display and read data",F,"Given a dataset: [15, 17, 18, 20, 21, 22, 23, 30], construct a box plot"
Data frequencies and probabilities,"Collect, display and read data",F,"From a pie chart showing time spent on homework (Math 25%, Science 35%, English 40%), estimate the time spent on Math if total time is 4 hours"
Data frequencies and probabilities,"Collect, display and read data",G,"A frequency table shows test scores with intervals 40–49 (3), 50–59 (5), 60–69 (8), 70–79 (4); draw a histogram"
Data frequencies and probabilities,"Collect, display and read data",G,"Plot the cumulative frequency curve from: 0–10 (2), 10–20 (6), 20–30 (9), 30–40 (3)"
Data frequencies and probabilities,"Collect, display and read data",G,"A class survey shows 12 like math, 8 like science, 5 like both; represent with a Venn diagram"
Data frequencies and probabilities,"Collect, display and read data",G,"Given the grouped data: 0–5 (3), 5–10 (7), 10–15 (12), estimate the modal class"
Data frequencies and probabilities,"Collect, display and read data",H,"Record the number of cars passing each 5-minute interval over 1 hour; plot a time series graph"
Data frequencies and probabilities,"Collect, display and read data",H,"Use a dot plot to show the distribution of daily temperatures over 14 days: 15–22°C"
Data frequencies and probabilities,"Collect, display and read data",H,"Using the data provided, record monthly energy usage over a year and use a line graph to identify seasonal variation"
Data frequencies and probabilities,"Collect, display and read data",H,"A pie chart shows categories A, B, and C with central angles 90°, 120°, and 150°; find the percentage for each"
Data frequencies and probabilities,Compare and evaluate data,B,"From the following bar graph: Which two days had the most number of students wearing hats? [Mon (5), Tue (5), Wed (4), Thu(1), Fri(3)]"
Data frequencies and probabilities,Compare and evaluate data,B,"Which day had the most rain: M (20 mm), T (12 mm), W (25 mm)?"
Data frequencies and probabilities,Compare and evaluate data,B,"What’s the difference between the tallest and shortest bars in the graph: 3, 6, 8, 5, 3, 2?"
Data frequencies and probabilities,Compare and evaluate data,B,"Which color had the middle amount of votes: Red (4), Blue (7), Green (3)?"
Data frequencies and probabilities,Compare and evaluate data,C,"What is the difference between the highest and lowest scores on the line chart?"
Data frequencies and probabilities,Compare and evaluate data,C,"Find the mean (average) of these test scores: 80, 85, 90, 95, 100"
Data frequencies and probabilities,Compare and evaluate data,C,"Calculate the range: 45, 39, 50, 48"
Data frequencies and probabilities,Compare and evaluate data,C,"What value is missing if the mean of 3 numbers is 10 and two of them are 8 and 12?"
Data frequencies and probabilities,Compare and evaluate data,C,"Which day had the highest jump in values on the line graph?"
Data frequencies and probabilities,Compare and evaluate data,D,"Compare the mean of two datasets: A = [3, 4, 5], B = [5, 6, 7]."
Data frequencies and probabilities,Compare and evaluate data,D,"Which data set has a greater spread: [5, 10, 15] or [8, 9, 10]?"
Data frequencies and probabilities,Compare and evaluate data,D,"Find the median of this data: 7, 9, 12, 10, 11."
Data frequencies and probabilities,Compare and evaluate data,E,"Interpret what a small interquartile range tells you about a data set"
Data frequencies and probabilities,Compare and evaluate data,E,"Analyze a box plot and explain the spread and skewness of the data"
Data frequencies and probabilities,Compare and evaluate data,E,"Which measure (mean, median, mode) best represents this data: 3, 3, 3, 4, 100?"
Data frequencies and probabilities,Compare and evaluate data,E,"A data set has values: 5, 6, 7, 8, 9, 50. Find the mean and median. Which measure is more affected by the outlier?"
Data frequencies and probabilities,Compare and evaluate data,E,"Interpret a box plot where the median is much closer to Q1 than to Q3. What does this suggest about the data?"
Data frequencies and probabilities,Compare and evaluate data,F,"Two classes’ test averages are 78 and 83. The ranges are 20 and 5 respectively. Which has more consistent scores?"
Data frequencies and probabilities,Compare and evaluate data,F,"Dataset A: [10, 10, 10, 10, 10]; Dataset B: [6, 8, 10, 12, 14]. Which has a higher standard deviation?"
Data frequencies and probabilities,Compare and evaluate data,F,"Sales data: Jan – 40, Feb – 38, Mar – 39, Apr – 85. Is the April value an outlier? Justify"
Data frequencies and probabilities,Compare and evaluate data,F,"A mean income of $50,000 is reported. Most people in the data earn under $30,000. What does this suggest about the data’s distribution?"
Data frequencies and probabilities,Compare and evaluate data,F,"For a group of 10 students, the mean number of books read is 6. If 2 students read 0 books, how does this affect the average?"
Data frequencies and probabilities,Compare and evaluate data,G,"Compare the interquartile range of Dataset A (Q1=12, Q3=28) and B (Q1=14, Q3=22)"
Data frequencies and probabilities,Compare and evaluate data,G,"Use z-scores to compare student A (score 85, μ=80, σ=5) and student B (score 92, μ=88, σ=3)"
Data frequencies and probabilities,Compare and evaluate data,G,"Four students ran 1 mile in the following times (in minutes): – Alex: 8.3  – Brianna: 9.6  – Carlos: 8.7  – Diana: 9.2. The mean time is 9.0 minutes with a standard deviation of 0.4 minutes. Calculate the z-score for each student, then, order the students from fastest to slowest relative to the mean (not just actual time)."
Data frequencies and probabilities,Compare and evaluate data,G,"Two scatter plots are analyzed: – Graph A (study time vs. grades): r = 0.88 – Graph B (TV hours vs. grades): r = –0.12. State whether the association in each graph is positive, negative, or none."
Data frequencies and probabilities,Compare and evaluate data,H,"Test whether a die is fair based on the observed frequencies: {1: 18, 2: 16, 3: 20, 4: 14, 5: 17, 6: 15}"
Data frequencies and probabilities,Compare and evaluate data,H,"Determine which student performed better relative to their class: 88 in a test with μ = 80, σ = 5 vs. 91 in μ = 85, σ = 4"
Data frequencies and probabilities,Compare and evaluate data,H,"Using a z-score formula, find how many standard deviations 92 is from the mean 85 (σ = 3)"
Data frequencies and probabilities,Compare and evaluate data,H,"Calculate the correlation coefficient for paired data: x = {2, 4, 6}, y = {3, 7, 11}"
Data frequencies and probabilities,Compare and evaluate data,H,"Evaluate the reliability of a dataset of 500 COVID-19 test results where 8 are false positives and 4 false negatives"
Data frequencies and probabilities,Understanding probabilities,B,"A spinner has 3 red sections and 1 blue. Which color is more likely?"
Data frequencies and probabilities,Understanding probabilities,B,"What are the chances of rolling a 6 on a die? A) Always B) Sometimes C) Never"
Data frequencies and probabilities,Understanding probabilities,B,"Is it certain, possible, or impossible to see the sun at night?"
Data frequencies and probabilities,Understanding probabilities,C,"What is the chance of flipping a coin and getting heads?"
Data frequencies and probabilities,Understanding probabilities,C,"What is the probability of picking a weekday from a list of all 7 days?"
Data frequencies and probabilities,Understanding probabilities,C,"A die shows numbers 1–6. What is the probability of rolling an even number?"
Data frequencies and probabilities,Understanding probabilities,C,"What does it mean if an event has a probability of 0?"
Data frequencies and probabilities,Understanding probabilities,C,"Can the probability of an event be more than 1? (Yes or No)"
Data frequencies and probabilities,Understanding probabilities,C,"Which is more certain: rolling a number less than 10 on a standard die, or flipping heads?"
Data frequencies and probabilities,Understanding probabilities,D,"What is the probability of rolling an even number on a standard die?"
Data frequencies and probabilities,Understanding probabilities,D,"If a spinner has 5 equal sections, what is the chance of landing on one section? Express the probability as fraction."
Data frequencies and probabilities,Understanding probabilities,D,"What is the probability percentage of picking a red ball from a bag with 2 red, 3 blue, and 5 green balls?"
Data frequencies and probabilities,Understanding probabilities,D,"A number is chosen from 1 to 10 — what is the decimal probability of getting a number less than 6?"
Data frequencies and probabilities,Understanding probabilities,E,"A spinner is divided into 8 equal parts: 3 red, 2 blue, 3 yellow. What is P(blue)?"
Data frequencies and probabilities,Understanding probabilities,E,"Two dice are rolled. What is the probability that the sum is 7?"
Data frequencies and probabilities,Understanding probabilities,E,"If the probability of winning is 0.4, how many times would you expect to win in 50 trials?"
Data frequencies and probabilities,Understanding probabilities,E,"A sock drawer has 5 black, 4 white, and 3 gray socks. What is P(not black)?"
Data frequencies and probabilities,Understanding probabilities,E,"A spinner has 4 equal sections. Theoretical probability of red = 0.25. In 40 spins, red comes up 18 times. Compare experimental and theoretical probabilities"
Data frequencies and probabilities,Understanding probabilities,E,"You roll a die 60 times and get a 3 on 7 occasions. What is the experimental probability of rolling a 3?"
Data frequencies and probabilities,Understanding probabilities,F,"A coin is flipped twice. What is the probability of getting exactly one head?"
Data frequencies and probabilities,Understanding probabilities,F,"Two dice are rolled. What is the probability of getting a sum of 9?"
Data frequencies and probabilities,Understanding probabilities,F,"If P(A) = 0.6 and P(B) = 0.3, and A and B are independent, what is P(A and B)?"
Data frequencies and probabilities,Understanding probabilities,F,"A game advertises a 1 in 500 chance of winning. What is this probability as a decimal?"
Data frequencies and probabilities,Understanding probabilities,F,"A card is drawn from a standard deck. What is the probability it’s a face card or a heart?"
Data frequencies and probabilities,Understanding probabilities,F,"A bag has 10 blue, 5 red, and 5 green balls. What is the chance of not drawing a blue?"
Data frequencies and probabilities,Understanding probabilities,G,"From a group of 20 students, 12 take math, 7 take science, 5 take both; find P(math ∪ science)"
Data frequencies and probabilities,Understanding probabilities,G,"Use the addition rule: P(A) = 0.4, P(B) = 0.3, P(A ∩ B) = 0.1; find P(A ∪ B)"
Data frequencies and probabilities,Understanding probabilities,G,"A box contains 4 green, 3 red, and 2 yellow marbles; two are drawn without replacement. Find P(green then red)"
Data frequencies and probabilities,Understanding probabilities,G,"In a survey, 35% like coffee, 45% tea, and 20% both; find the probability someone likes neither"
Data frequencies and probabilities,Understanding probabilities,H,"A factory has 3 machines producing items with defect rates of 2%, 4%, and 5%; find the overall probability an item is defective if machines produce 40%, 35%, and 25% respectively"
Data frequencies and probabilities,Understanding probabilities,H,"A batch has a 5% defect rate; find the probability that in a random sample of 4, none are defective"
Data frequencies and probabilities,Understanding probabilities,H,"Estimate the expected value of a lottery ticket costing $2 with a 1⁄1000 chance of winning $500"
Data frequencies and probabilities,Understanding probabilities,H,"If the probability of a machine failing in a day is 0.01, what is the probability it lasts 100 days without failure?"
Data frequencies and probabilities,Combinatorics,B,"Color all the different ways to arrange red, blue, and yellow blocks"
Data frequencies and probabilities,Combinatorics,B,"Draw all the ways to color a flag with 2 stripes using red and blue"
Data frequencies and probabilities,Combinatorics,B,"How many ways can you arrange 3 blocks: A, B, C?"
Data frequencies and probabilities,Combinatorics,C,"How many outfits can you make with 2 shirts and 3 pants?"
Data frequencies and probabilities,Combinatorics,C,"How many different ways can you line up 2 students from a group of 4?"
Data frequencies and probabilities,Combinatorics,C,"Use the counting principle: 5 t-shirts, 2 pants, and 3 shoes — how many outfits?"
Data frequencies and probabilities,Combinatorics,C,"Draw a tree diagram of all the possible outcomes of flipping a coin and rolling a number cube."
Data frequencies and probabilities,Combinatorics,D,"You flip a coin twice — list all possible outcomes."
Data frequencies and probabilities,Combinatorics,D,"A password has 2 letters followed by 1 digit — how many different passwords are possible using A, B, C and digits 1, 2?"
Data frequencies and probabilities,Combinatorics,D,"How many different meals can you make with 2 starters, 3 mains, and 2 desserts?"
Data frequencies and probabilities,Combinatorics,D,"How many ways can 4 students sit in a row of 4 chairs?"
Data frequencies and probabilities,Combinatorics,E,"How many ways can you choose 2 students from a group of 6? Use combination notation"
Data frequencies and probabilities,Combinatorics,E,"In how many ways can 4 friends be seated in a row of 4 chairs? Use permutation notation"
Data frequencies and probabilities,Combinatorics,E,"A hand of 5 cards is drawn from a deck. How many different hands are possible? Use combination notation"
Data frequencies and probabilities,Combinatorics,E,"Use the Fundamental Counting Principle to find the number of ways to build an outfit with 2 shirts, 3 pants, and 2 hats"
Data frequencies and probabilities,Combinatorics,F,"In how many ways can 1st, 2nd, and 3rd prize be awarded among 10 contestants?"
Data frequencies and probabilities,Combinatorics,F,"Use Pascal’s Triangle to find the number of ways to choose 3 items from 6"
Data frequencies and probabilities,Combinatorics,F,"A club has 10 members. How many ways can you select a president, vice president, and secretary if the president must be older than the vice president?"
Data frequencies and probabilities,Combinatorics,F,"Use Pascal’s Triangle to list the coefficients of (a + b)⁴"
Data frequencies and probabilities,Combinatorics,G,"A binary code uses 6 digits; how many codes have exactly two 1s?"
Data frequencies and probabilities,Combinatorics,G,"Use the inclusion-exclusion principle: In a class of 30, 18 play football, 15 play basketball, and 10 play both. How many play neither?"
Data frequencies and probabilities,Combinatorics,G,"A graph has 6 nodes; how many edges are needed to connect every pair (complete graph)?"
Data frequencies and probabilities,Combinatorics,H,"Using generating functions, find the number of integer solutions to x₁ + x₂ + x₃ = 10 with xᵢ ≥ 0"
Data frequencies and probabilities,Combinatorics,H,"From 6 red and 5 blue pens, how many ways to select 3 pens with at least one red?"
"Functional relationships (patterns and structures)",Recognising patterns and structures,B,"What comes next? 2, 4, 6, 8, ___"
"Functional relationships (patterns and structures)",Recognising patterns and structures,B,"Fill in the missing number: 5, 10, ___, 20"
"Functional relationships (patterns and structures)",Recognising patterns and structures,B,"Which number breaks the pattern? 2, 4, 6, 9, 10"
"Functional relationships (patterns and structures)",Recognising patterns and structures,B,"Is this pattern increasing or decreasing? 50, 45, 40, 35"
"Functional relationships (patterns and structures)",Recognising patterns and structures,B,"Write the next two numbers: 3, 6, 9, ___, ___"
"Functional relationships (patterns and structures)",Recognising patterns and structures,B,"What’s the rule? 1, 3, 5, 7 → Rule: Add ___"
"Functional relationships (patterns and structures)",Recognising patterns and structures,C,"Find the rule: 3 → 6, 4 → 8, 5 → 10, ___ → ___"
"Functional relationships (patterns and structures)",Recognising patterns and structures,C,"If the pattern is “subtract 4,” what are the next two numbers: 40, 36, ___, ___"
"Functional relationships (patterns and structures)",Recognising patterns and structures,C,"What is the pattern rule? 1, 4, 9, 16, 25..."
"Functional relationships (patterns and structures)",Recognising patterns and structures,C,"What is the missing number: 5, 10, ___, 20, 25?"
"Functional relationships (patterns and structures)",Recognising patterns and structures,D,"Identify the common difference and find the 10th term: 4, 7, 10, 13, …"
"Functional relationships (patterns and structures)",Recognising patterns and structures,D,"Which term in the sequence 7, 14, 21, 28, … is equal to 105?"
"Functional relationships (patterns and structures)",Recognising patterns and structures,D,"Find the general formula for the arithmetic sequence: −2, 0, 2, 4, 6, …"
"Functional relationships (patterns and structures)",Recognising patterns and structures,D,"A sequence follows the rule: T(n) = 3n + 9. What is the 4th and 5th term?"
"Functional relationships (patterns and structures)",Recognising patterns and structures,E,"Find the 10th term of the sequence: n² + 2"
"Functional relationships (patterns and structures)",Recognising patterns and structures,E,"Match the pattern rule to the sequence: A) n+2, B) 2n, C) n² — Which one fits 1, 4, 9, 16...?"
"Functional relationships (patterns and structures)",Recognising patterns and structures,E,"A staircase has 1 block on the first step, 2 on the second, 4 on the third, then 7, then 11... Write a rule."
"Functional relationships (patterns and structures)",Recognising patterns and structures,F,"Identify the next two rows of Pascal’s Triangle after row 1, 4, 6, 4, 1"
"Functional relationships (patterns and structures)",Recognising patterns and structures,F,"A sequence is defined by a₁ = 2, aₙ = aₙ₋₁ + 3n. Find a₄"
"Functional relationships (patterns and structures)",Recognising patterns and structures,F,"Recognize the pattern: 1, 4, 9, 16, 25... What type of sequence is this?"
"Functional relationships (patterns and structures)",Recognising patterns and structures,F,"A sequence grows as follows: 1, 1, 2, 3, 5, 8... What is the 9th term?"
"Functional relationships (patterns and structures)",Recognising patterns and structures,G,"Determine whether 729 can be written as 3^n for some whole number n?"
"Functional relationships (patterns and structures)",Recognising patterns and structures,G,"Find which term in the sequence 2, 5, 10, 17, 26 has the value 101"
"Functional relationships (patterns and structures)",Recognising patterns and structures,G,"Determine if the sequence 2, 5, 10, 17, 26 fits a quadratic model and justify your answer"
"Functional relationships (patterns and structures)",Recognising patterns and structures,G,"Use arithmetic structure to find the 20th term of a sequence that increases by 5 from a starting value of 7"
"Functional relationships (patterns and structures)",Recognising patterns and structures,H,"A recursive formula is given by f(n) = f(n−1) + f(n−2); find f(6) if f(1) = 1, f(2) = 1"
"Functional relationships (patterns and structures)",Recognising patterns and structures,H,"The sequence 81, 27, 9, 3,... is geometric; show step by step how to calculate the sum of terms 6 through 10 using the geometric series formula"
"Functional relationships (patterns and structures)",Allocations and proportionality,B,"Each child gets one pencil. How many pencils for 3 children? ______"
"Functional relationships (patterns and structures)",Allocations and proportionality,B,"Is a car faster or slower than a bike? ______"
"Functional relationships (patterns and structures)",Allocations and proportionality,B,"Is a backpack heavier or lighter than a pencil case? ______"
"Functional relationships (patterns and structures)",Allocations and proportionality,C,"If 1 pencil costs 2 euros, how much do 4 pencils cost?"
"Functional relationships (patterns and structures)",Allocations and proportionality,C,"Complete the ratio: 2:4 = 3:___"
"Functional relationships (patterns and structures)",Allocations and proportionality,C,"A recipe uses 3 cups of flour for 6 pancakes. How many cups for 12 pancakes?"
"Functional relationships (patterns and structures)",Allocations and proportionality,C,"Fill in the blanks:
    Minutes: 10 | 20 | 30
    Steps: 100 | ___ | ___"
"Functional relationships (patterns and structures)",Allocations and proportionality,D,"A student scores 18 out of 20 on a quiz. What’s the score out of 100?"
"Functional relationships (patterns and structures)",Allocations and proportionality,D,"If 10 apples weigh 2 kg, how much do 25 apples weigh?"
"Functional relationships (patterns and structures)",Allocations and proportionality,D,"Is the relationship y = 3x proportional?"
"Functional relationships (patterns and structures)",Allocations and proportionality,D,"The time taken to complete a job is inversely proportional to the number of workers. If 3 workers finish in 12 hours, how long for 6 workers?"
"Functional relationships (patterns and structures)",Allocations and proportionality,D,"A job pays €240 for 8 hours of work. How much is earned in 5 hours at the same rate?"
"Functional relationships (patterns and structures)",Allocations and proportionality,D,"Is the relationship between speed and time (for fixed distance) direct or inverse proportion? Explain."
"Functional relationships (patterns and structures)",Allocations and proportionality,E,"A worker earns €12 per hour. Write an equation in the form y = kx to represent total earnings"
"Functional relationships (patterns and structures)",Allocations and proportionality,E,"Plot the values (1, 2), (2, 4), (3, 6), (4, 8). Is this a proportional relationship? What is the value of k?"
"Functional relationships (patterns and structures)",Allocations and proportionality,E,"Write an equation in the form y = kx if 7 notebooks cost €21"
"Functional relationships (patterns and structures)",Allocations and proportionality,E,"Describe how the graph of y = 2x compares to y = 0.5x in terms of steepness and meaning"
"Functional relationships (patterns and structures)",Allocations and proportionality,F,"6 printers working 5 hours a day finish a job in 4 days. How many days would 10 printers need if they work 3 hours a day?"
