Topic Area,Topic,Progress Level,Exercise
Funktionale Zusammenhänge (Muster und Strukturen),Muster und Strukturen erkennen,C,"Bilde eine Regel (beginne bei 2, addiere 5)."
Funktionale Zusammenhänge (Muster und Strukturen),Muster und Strukturen erkennen,D,Erkenne arithmetische Folgen
Funktionale Zusammenhänge (Muster und Strukturen),Muster und Strukturen erkennen,D,Finde das n-te Glied einer geometrischen Folge.
Funktionale Zusammenhänge (Muster und Strukturen),Muster und Strukturen erkennen,E,Zukünftige Begriffe oder Positionen vorhersagen
Funktionale Zusammenhänge (Muster und Strukturen),Muster und Strukturen erkennen,E,Anwendung von Sequenzmustern in realen Kontexten
Funktionale Zusammenhänge (Muster und Strukturen),Muster und Strukturen erkennen,F,Umgang mit Fibonacci-ähnlicher Rekurrenz
Funktionale Zusammenhänge (Muster und Strukturen),Muster und Strukturen erkennen,F,Beobachte binomiale oder geometrische Muster
Funktionale Zusammenhänge (Muster und Strukturen),Muster und Strukturen erkennen,G,Studiere Primzahlen oder Fraktale.
Funktionale Zusammenhänge (Muster und Strukturen),Muster und Strukturen erkennen,G,Verknüpfen Sie Sequenzen mit funktionalen Beziehungen
Funktionale Zusammenhänge (Muster und Strukturen),Muster und Strukturen erkennen,H,Untersuche unendliche Reihen/Grenzwerte.
Funktionale Zusammenhänge (Muster und Strukturen),Muster und Strukturen erkennen,H,Verwende Erzeugende Funktionen oder Rekurrenzen
Funktionale Zusammenhänge (Muster und Strukturen),Zuordnungen und Proportionalität,B,Eins-zu-eins-Zuordnung (Kind→Bleistift)
Funktionale Zusammenhänge (Muster und Strukturen),Zuordnungen und Proportionalität,B,Diskutieren Sie größere/kleinere Beziehungen.
Funktionale Zusammenhänge (Muster und Strukturen),Zuordnungen und Proportionalität,C,"Verdopple ein Rezept, beachte die Proportionalität."
Funktionale Zusammenhänge (Muster und Strukturen),Zuordnungen und Proportionalität,C,"Verwenden Sie Verhältnistabellen, um Mengen zu skalieren."
Funktionale Zusammenhänge (Muster und Strukturen),Zuordnungen und Proportionalität,D,Lösen Sie direkte Proportionen (Einheitsmethode)
Funktionale Zusammenhänge (Muster und Strukturen),Zuordnungen und Proportionalität,D,Erkenne umgekehrte Proportionalität (Arbeiter/Zeit)
Funktionale Zusammenhänge (Muster und Strukturen),Zuordnungen und Proportionalität,E,Schreiben Sie y=kx als lineares Verhältnis.
Funktionale Zusammenhänge (Muster und Strukturen),Zuordnungen und Proportionalität,E,Interpretiere die Steigung als Änderungsrate
Funktionale Zusammenhänge (Muster und Strukturen),Zuordnungen und Proportionalität,F,Umgehen mit zusammengesetzten Verhältnissen
Funktionale Zusammenhänge (Muster und Strukturen),Zuordnungen und Proportionalität,F,Löse direkte/indirekte Proportionalität in realen Aufgaben.
Funktionale Zusammenhänge (Muster und Strukturen),Zuordnungen und Proportionalität,G,Analyse der partiellen Proportionalität
Funktionale Zusammenhänge (Muster und Strukturen),Zuordnungen und Proportionalität,G,Anwenden von Verhältnissen in der Geometrie (ähnliche Dreiecke)
Funktionale Zusammenhänge (Muster und Strukturen),Zuordnungen und Proportionalität,H,Transformiere y=kx in y=kx+b.
Funktionale Zusammenhänge (Muster und Strukturen),Zuordnungen und Proportionalität,H,Erkunden Sie fortgeschrittene proportionale Formen.
Funktionale Zusammenhänge (Muster und Strukturen),Lineare und andere einfache Funktionen,B,Eingabetabelle lesen→Ausgabe (x→x+2)
Funktionale Zusammenhänge (Muster und Strukturen),Lineare und andere einfache Funktionen,B,Punkte für y=x+2 zeichnen
Funktionale Zusammenhänge (Muster und Strukturen),Lineare und andere einfache Funktionen,C,Erkennen Sie lineare Muster in einer Tabelle.
Funktionale Zusammenhänge (Muster und Strukturen),Lineare und andere einfache Funktionen,C,Erstellen Sie ein Liniendiagramm von y=2x.
Funktionale Zusammenhänge (Muster und Strukturen),Lineare und andere einfache Funktionen,D,Finde die Steigung aus zwei Punkten.
Funktionale Zusammenhänge (Muster und Strukturen),Lineare und andere einfache Funktionen,D,Schreibe y=mx+b aus Steigung/Abschnitt.
Funktionale Zusammenhänge (Muster und Strukturen),Lineare und andere einfache Funktionen,E,Beschreiben Sie ein lineares Modell von Strecke und Zeit.
Funktionale Zusammenhänge (Muster und Strukturen),Lineare und andere einfache Funktionen,E,Untersuche einfache nichtlineare Funktionen y=x².
Funktionale Zusammenhänge (Muster und Strukturen),Lineare und andere einfache Funktionen,F,"Transformieren von Funktionen (Verschiebungen, Spiegelungen)"
Funktionale Zusammenhänge (Muster und Strukturen),Lineare und andere einfache Funktionen,F,Vergleiche lineares Wachstum mit exponentiellem Wachstum.
Funktionale Zusammenhänge (Muster und Strukturen),Lineare und andere einfache Funktionen,G,Verwenden Sie abschnittsweise/Polynomfunktionen.
Funktionale Zusammenhänge (Muster und Strukturen),Lineare und andere einfache Funktionen,G,"Analysiere quadratische Funktionen (Scheitelpunkt, Nullstellen)"
Funktionale Zusammenhänge (Muster und Strukturen),Lineare und andere einfache Funktionen,H,Untersuchen Sie rationale/logarithmische Familien.
Funktionale Zusammenhänge (Muster und Strukturen),Lineare und andere einfache Funktionen,H,"Verwenden Sie die Analysis, um das Verhalten von Funktionen zu untersuchen."
Funktionale Zusammenhänge (Muster und Strukturen),Gleichungen und Algebra,B,Löse x+2=5 in einem Erzählkontext.
Funktionale Zusammenhänge (Muster und Strukturen),Gleichungen und Algebra,B,"The translation of ""x=3 by basic arithmetic"" into German is ""x=3 durch elementare Arithmetik""."
Funktionale Zusammenhänge (Muster und Strukturen),Gleichungen und Algebra,C,Setze \( x=4 \) in \( 3x+1 \) ein.
Funktionale Zusammenhänge (Muster und Strukturen),Gleichungen und Algebra,C,Löse ein-/zweistufige lineare Gleichungen.
Funktionale Zusammenhänge (Muster und Strukturen),Gleichungen und Algebra,D,"The translation of the exercise description into German is: ""Vereinfache 2x + 3x = 5x."""
Funktionale Zusammenhänge (Muster und Strukturen),Gleichungen und Algebra,D,Löse mehrschrittige lineare Gleichung. (2x + 3 = 11)
Funktionale Zusammenhänge (Muster und Strukturen),Gleichungen und Algebra,E,Löse simultane lineare Gleichungen in 2 Variablen.
Funktionale Zusammenhänge (Muster und Strukturen),Gleichungen und Algebra,E,Lösungen interpretieren (Schnittpunkte)
Funktionale Zusammenhänge (Muster und Strukturen),Gleichungen und Algebra,F,Faktorisieren Sie x²+5x+6.
Funktionale Zusammenhänge (Muster und Strukturen),Gleichungen und Algebra,F,Löse quadratische Gleichungen durch Faktorisierung oder mit der Lösungsformel.
Funktionale Zusammenhänge (Muster und Strukturen),Gleichungen and Algebra,G,Algebraische Brüche manipulieren
Funktionale Zusammenhänge (Muster und Strukturen),Gleichungen and Algebra,G,Löse Systeme (linear/quadratisch)
Funktionale Zusammenhänge (Muster und Strukturen),Gleichungen und Algebra,H,Höhere-Grad-Polynome/komplexe Faktoren
Funktionale Zusammenhänge (Muster und Strukturen),Gleichungen und Algebra,H,Verwenden Sie Computeralgebra für symbolische Aufgaben.
Funktionale Zusammenhänge (Muster und Strukturen),Weitere funktionale Beziehungen,B,Beachten Sie \( x \rightarrow x² \) (kleines x) im Vergleich zu linear.
Funktionale Zusammenhänge (Muster und Strukturen),Weitere funktionale Beziehungen,B,Besprechen Sie die Verdopplungssequenz (exponentielle Idee).
Funktionale Zusammenhänge (Muster und Strukturen),Weitere funktionale Beziehungen,C,Identifizieren Sie gekrümmte Grafiken vs. Liniengrafiken
Funktionale Zusammenhänge (Muster und Strukturen),Weitere funktionale Beziehungen,C,Skizziere y=x² für ganzzahlige x.
Funktionale Zusammenhänge (Muster und Strukturen),Weitere funktionale Beziehungen,D,Vergleiche lineare vs. quadratische Tabellen
Funktionale Zusammenhänge (Muster und Strukturen),Weitere funktionale Beziehungen,D,Erkunde grundlegende Exponentialfunktionen (y=2^x).
Funktionale Zusammenhänge (Muster und Strukturen),Weitere funktionale Beziehungen,E,Analysiere das Wachstum von Zinseszinsen.
Funktionale Zusammenhänge (Muster und Strukturen),Weitere funktionale Beziehungen,E,"Verwenden Sie Technologie, um Polynom- und Exponentialfunktionen zu zeichnen."
Funktionale Zusammenhänge (Muster und Strukturen),Weitere funktionale Beziehungen,F,Untersuche y=1/x oder rationale Funktionen.
Funktionale Zusammenhänge (Muster und Strukturen),Weitere funktionale Beziehungen,F,Halbwertszeit- oder Abschreibungsprobleme lösen
Funktionale Zusammenhänge (Muster und Strukturen),Weitere funktionale Beziehungen,G,Führen Sie kurz Logarithmen oder Trigonometrie ein.
Funktionale Zusammenhänge (Muster und Strukturen),Weitere funktionale Beziehungen,G,Erörtern Sie den Definitions- und Wertebereich für neue Funktionstypen.
Funktionale Zusammenhänge (Muster und Strukturen),Weitere funktionale Beziehungen,H,Verwenden Sie die Analysis für fortgeschrittene Analysen.
Funktionale Zusammenhänge (Muster und Strukturen),Weitere funktionale Beziehungen,H,Modelle Phänomene mit kombinierten Funktionstypen
